


,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,

,Delta Report (Road Wise Summary),,,,,,,,,,,,,,,,,,


,,Details of Road Projects,,,,,Total Length (km),Balance Length (Kms),,Annual Target (Kms),,Target for Remaining Months (Kms),Target for Current Month (Kms),Progress in this FY (Kms),Progress in Current Month (Kms),Financial Expenditure (Cumulative) (In Lakhs),"Financial Expenditure 
(This FY)
(In Lakhs)","Financial Expenditure 
(This Month)
(In Lakhs)",Road Status
Sr No.,,Scheme,Name of the Road,Package_ID,District,Block,,,,,,,,,,,,,
111,,PMGSY-I,Sirari Koyla Road - Deeh Kusumba,BR3109,Sheikhpura,Ghat Kusumbha,4.8,4.8,,0,,0.000,0,0,0,0.00,0.00,0.00,-
112,,PMGSY-I,Mali Busaha To - Mahuba Road,BR3202,Sheohar,Sheohar,4.6,0,,0.327,,0.000,0,0.327,0,132.18,132.18,0.00,-
113,,PMGSY-I,Baidhnathpur - Chhapra,BR-32R-025,Sheohar,Tariyani,6.53,0.73,,4.33,,0.730,2.83,3.6,3.6,0.00,0.00,0.00,-
114,,PMGSY-I,Paranbansant Tola - Nahra Tola,BR-32R-033,Sheohar,Tariyani,4.28,0.48,,0.48,,0.480,0.28,0,0,96.50,96.50,0.00,-
115,,PMGSY-I,L042-PURNAHIA-CHAKFATEH ROAD TO PAKARIYA TOLA (VR22) ,BR32R172,Sheohar,Purnahia,1.77,0.17,,0.17,,0.170,0.07,0,0,24.84,24.84,0.00,-
116,,PMGSY-I,MANIK CHOWK - HARISINGPUR,BR-33R104A,Sitamarhi,Runnisaidpur,3.047,3.047,,3.047,,3.047,0,0,0,1.50,1.50,0.00,-
117,,PMGSY-I,HAJIPUR BISHANT - TILAK TAJPUR,BR-33R117A,Sitamarhi,Runnisaidpur,5.714,0.3,,3.714,,0.300,0.5,3.414,0,0.00,0.00,0.00,-
118,,PMGSY-I,L096-Muraul PMGSY to Darji Tola Gopalpur (VR68),BR33R310,Sitamarhi,Bajpatti,1.244,0.244,,0.244,,0.244,0,0,0,0.00,0.00,0.00,-
119,,PMGSY-I,L059-Madhuban Bazar T09 to Bsaha (VR31),BR33R553,Sitamarhi,Bajpatti,2.5,0,,1,,0.000,0.8,1,1,0.00,0.00,0.00,-
120,,PMGSY-I,L104-PMGSY Road Babu Narha House of Kishori Mallik to Garhiya (VR76) ,BR33R631,Sitamarhi,Bajpatti,3.4,0.7,,0.7,,0.700,0,0,0,0.00,0.00,0.00,-


